1-1	那是力争上游的一种树，笔直的干，笔直的枝。
32-20	偶尔，也能够纵容自己放浪一下，并且#1有一种恶作剧的窃喜。
32-21	就让生命顺其自然，水到渠成吧，犹如窗前的乌桕，
32-22	自生自落之间，自有一份#1圆融丰满的喜悦。
32-23	春雨轻轻落着，没有诗，没有酒，
32-24	有的只是一份相知相属的自在自得。
32-25	夜色在笑语中渐渐沉落，朋友起身告辞，
32-26	没有挽留，没有送别，甚至#1也没有问归期。
32-27	已经过了大喜大悲的岁月，已经过了伤感流泪的年华，
32-28	知道了#1聚散原来是这样的自然#1和顺理成章，懂得这点，
32-29	便懂得珍惜每一次相聚的温馨，离别#1便也欢喜。
32-30	节选自#1(台湾)杏林子#1《朋友和其他》
33-0	作品33号#1《散步》
33-1	我们在田野散步：
33-2	我，我的母亲，我的妻子和儿子。
33-3	母亲本不愿出来的。
33-4	她老了，身体不好，走远一点儿#1就觉得很累。
33-5	我说，正因为如此，才应该多走走。
33-6	母亲信服地点点头，便去拿外套。
33-7	她现在很听我的话，就像我小时候#1很听她的话一样。
33-8	这南方初春的田野，大块小块的新绿#1随意地铺着，
33-9	有的浓，有的淡，树上的嫩芽也密了，
33-10	田里的冬水也咕咕地起着水泡。
33-11	这一切#1都使人想着一样东西——生命。
33-12	我和母亲走在前面，我的妻子和儿子走在后面。
33-13	小家伙突然叫起来：
33-14	“前面是妈妈和儿子，后面也是妈妈和儿子。”
33-15	我们都笑了。
33-16	后来发生了分歧；
33-17	母亲要走大路，大路平顺；
33-18	我的儿子要走小路，小路有意思。
33-19	不过，一切都取决于我。
33-20	我的母亲老了，她早已习惯#1听从她强壮的儿子；
33-21	我的儿子还小，他还习惯#1听从他高大的父亲；
33-22	妻子呢，在外面，她总是听我的。
33-23	一霎时#1我感到了责任的重大。
33-24	我想找一个两全的办法，找不出；
33-25	我想拆散一家人，分成两路，各得其所，终不愿意。
33-26	我决定委屈儿子，因为#1我伴同他的时日还长。
33-27	我说：
33-28	“走大路。”
33-29	但是母亲#1摸摸孙儿的小脑瓜，变了主意：
33-30	“还是走小路吧。”
33-31	她的眼随小路望去：
33-32	那里#1有金色的菜花，两行整齐的桑树，
33-33	尽头一口水波粼粼的鱼塘。
33-34	“我走不过去的地方，你就背着我。”
33-35	母亲对我说。
33-36	这样，我们在阳光下，向着那菜花、桑树和鱼塘走去。
33-37	到了一处，我蹲下来，背起了母亲；
33-38	妻子也蹲下来，背起了儿子。
33-39	我和妻子#1都是慢慢地，稳稳地，走得很仔细，
33-40	好像我背上的#1同她背上的加起来，就是整个世界。
33-41	节选自#1莫怀戚#1《散步》
34-0	作品34号#1《神秘的“无底洞”》
34-1	地球上是否真的存在“无底洞”？
34-2	按说#1地球是圆的，由地壳、
34-3	地幔#1和地核三层组成，真正的“无底洞”#1是不应存在的，
34-4	我们所看到的各种山洞、裂口、裂缝，
34-5	甚至火山口#1也都只是#1地壳浅部的一种现象。
34-6	然而中国一些古籍#1却多次提到海外#1有个深奥莫测的无底洞。
34-7	事实上#1地球上确实有这样一个“无底洞”。
34-8	它位于#1希腊亚各斯古城的海滨。
34-9	由于濒临大海，大涨潮时，
34-10	汹涌的海水便会排山倒海般地涌入洞中，形成一股湍湍的急流。
34-11	据测，每天流入洞内的海水量达三万多吨。
34-12	奇怪的是，如此大量的海水灌入洞中，却从来没有把洞灌满。
34-13	曾有人怀疑，这个“无底洞”，
34-14	会不会#1就像石灰岩地区的漏斗、竖井、落水洞一类的地形。
34-15	然而#1从二十世纪三十年代以来，
34-16	人们就做了多种努力#1企图寻找它的出口，却都是枉费心机。
34-17	为了揭开这个秘密，一九五八年#1美国地理学会#1派出一支考察队，
34-18	他们把一种经久不变的带色染料溶解在海水中，
34-19	观察染料是如何随着海水一起沉下去。
34-20	接着又察看了附近海面#1以及岛上的各条河、
34-21	湖，满怀希望地#1寻找这种带颜色的水，结果令人失望。
34-22	难道#1是海水量太大把有色水稀释得太淡，以致无法发现？
34-23	至今谁也不知道#1为什么这里的海水#1会没完没了地“漏”下去，
34-24	这个“无底洞”的出口又在哪里，
34-25	每天大量的海水#1究竟#1都流到哪里去了？
34-26	节选自#1罗伯特·罗威尔#1《神秘的“无底洞”》
35-0	作品35号#1《世间最美的坟墓》
35-1	我在俄国见到的景物#1再没有比托尔斯泰墓#1更宏伟、更感人的。
35-2	完全按照托尔斯泰的愿望，他的坟墓成了世间最美的，给人印象最深刻的坟墓。
35-3	它只是树林中的一个小小的长方形土丘，上面开满鲜花——没有十字架，
35-4	没有墓碑，没有墓志铭，连托尔斯泰这个名字也没有。
35-5	这位比谁都感到#1受自己的声名所累的伟人，
35-6	却像偶尔被发现的流浪汉，不为人知的士兵，不留名姓地被人埋葬了。
35-7	谁都可以踏进他最后的安息地，围在四周稀疏的木栅栏#1是不关闭的——
35-8	保护列夫·托尔斯泰得以安息的没有任何别的东西，惟有人们的敬意；
35-9	而通常，人们却总是怀着好奇，去破坏#1伟人墓地的宁静。
35-10	这里，逼人的朴素#1禁锢住任何一种观赏的闲情，
35-11	并且#1不容许你大声说话。
35-12	风儿俯临，在这座无名者之墓的树木之间#1飒飒响着，
35-13	和暖的阳光在坟头嬉戏；
35-14	冬天，白雪温柔地覆盖这片幽暗的土地。
35-15	无论你在夏天或冬天经过这儿，你都想像不到，这个小小的、
35-16	隆起的长方体里#1安放着一位#1当代最伟大的人物。
35-17	然而，恰恰是这座不留姓名的坟墓，
35-18	比所有挖空心思用大理石#1和奢华装饰建造的坟墓#1更扣人心弦。
35-19	在今天这个特殊的日子里，到他的安息地来的成百上千人中间，
35-20	没有一个有勇气，哪怕仅仅从这幽暗的土丘上#1摘下一朵花留作纪念。
35-21	人们重新感到，世界上再没有比托尔斯泰最后留下的、这座纪念碑式的朴素坟墓。
35-22	更打动人心的了。
35-23	节选自#1[奥]#1茨威格#1《世间最美的坟墓》，张厚仁译
36-0	作品36号#1《苏州园林》
36-1	我国的建筑，从古代的宫殿#1到近代的一般住房，
36-2	绝大部分#1是对称的，左边怎么样，右边怎么样。
36-3	苏州园林#1可绝不讲究对称，好像故意避免似的。
36-4	东边有了一个亭子#1或者一道回廊，
36-5	西边#1决不会来一个同样的亭子#1或者一道同样的回廊。
36-6	这是为什么？
36-7	我想，用图画来比方，对称的建筑#1是图案画，
36-8	不是美术画，而园林#1是美术画，
36-9	美术画要求自然之趣，是不讲究对称的。
36-10	苏州园林里都有假山和池沼。
36-11	假山的堆叠，可以说是一项艺术#1而不仅是技术。
36-12	或者是重峦叠嶂，或者是几座小山#1配合着竹子花木，
36-13	全在乎#1设计者#1和匠师们生平多阅历，胸中有丘壑，
36-14	才能使游览者#1攀登的时候#1忘却苏州城市，
36-15	只觉得身在山间。
36-16	至于池沼，大多引用活水。
36-17	有些园林#1池沼宽敞。
36-18	就把池沼#1作为全园的中心，其他景物配合着布置。
36-19	水面#1假如成河道模样，往往安排桥梁。
36-20	假如安排两座以上的桥梁，那就一座一个样，决不雷同。
36-21	池沼#1或河道的边沿#1很少砌齐整的石岸，
36-22	总是高低屈曲任其自然。
36-23	还在那儿布置几块玲珑的石头，或者种些花草。
36-24	这也是为了取得从各个角度看#1都成一幅画的效果。
36-25	池沼里养着金鱼#1或各色鲤鱼，夏秋季节#1荷花#1或睡莲开放，
36-26	游览者#1看“鱼戏莲叶间”，又是入画的一景。
36-27	节选自#1叶圣陶#1《苏州园林》
37-0	作品37号#1《态度创造快乐》
37-1	一位访美中国女作家，在纽约#1遇到一位卖花的老太太。
37-2	老太太穿着破旧，身体虚弱，但脸上的神情#1却是那样祥和兴奋。
37-3	女作家挑了一朵花说：
37-4	“看起来，你很高兴。”
37-5	老太太面带微笑地说：
37-6	“是的，一切都这么美好，我为什么不高兴呢？”
37-7	“对烦恼，你倒真能看得开。”
37-8	女作家又说了一句。
37-9	没料到，老太太的回答#1更令女作家#1大吃一惊：
37-10	“耶稣在星期五#1被钉上十字架时，
37-11	是全世界#1最糟糕的一天，可三天后#1就是复活节。
37-12	所以，当我遇到不幸时，
37-13	就会等待三天，这样#1一切就恢复正常了。”
37-14	“等待三天”，多么富于哲理的话语，多么乐观的生活方式。
37-15	它把烦恼和痛苦抛下，全力去收获快乐。
37-16	沈从文在文革期间，陷入了非人的境地。
37-17	可他毫不在意，他在咸宁时#1给他的表侄、画家黄永玉写信说：
37-18	“这里的荷花真好，你若来……”
37-19	身陷苦难#1却仍为荷花的盛开#1欣喜赞叹不已，
37-20	这是一种趋于澄明的境界，一种旷达洒脱的胸襟，
37-21	一种面临磨难坦荡从容的气度，
37-22	一种对生活童子般的热爱#1和对美好事物#1无限向往的生命情感。
37-23	由此可见，影响一个人快乐的，
37-24	有时并不是困境及磨难，而是一个人的心态。
37-25	如果把自己浸泡在积极、乐观、
37-26	向上的心态中，快乐#1必然会占据你的每一天。
37-27	节选自#1《态度创造快乐》
38-0	作品38号#1《泰山极顶》
38-1	泰山极顶看日出，历来被描绘成#1十分壮观的奇景。
38-2	有人说：
38-3	登泰山而看不到日出，就像一出大戏没有戏眼，味儿#1终究有点寡淡。
38-4	我去爬山那天，正赶上个难得的好天，万里长空，云彩丝儿都不见。
38-5	素常，烟雾腾腾的山头，显得眉目分明。
38-6	同伴们都欣喜地说：
38-7	“明天早晨#1准可以看见日出了。”
38-8	我也是抱着这种想头，爬上山去。
38-9	一路从山脚往上爬，细看山景，
38-10	我觉得#1挂在眼前的#1不是五岳独尊的泰山，
38-11	却像一幅规模惊人的#1青绿山水画，从下面倒展开来。
38-12	在画卷中#1最先露出的#1是山根底那座明朝建筑岱宗坊，
38-13	慢慢地便现出王母池、斗母宫、经石峪。
38-14	山#1是一层比一层深，一叠比一叠奇，
38-15	层层叠叠，不知还会有多深多奇，
38-16	万山丛中，时而点染着#1极其工细的人物。
38-17	王母池旁的吕祖殿里#1有不少尊明塑，
38-18	塑着吕洞宾等一些人，姿态神情是那样有生气，
38-19	你看了，不禁会脱口赞叹说：
38-20	“活啦。”
38-21	画卷继续展开，绿阴森森的柏洞#1露面不太久，
38-22	便来到对松山。
38-23	两面奇峰对峙着，满山峰都是奇形怪状的老松，
38-24	年纪怕都有上千岁了，颜色竟那么浓，
38-25	浓得好像要流下来似的。
38-26	来到这儿，你不妨权当一次画里的写意人物，
38-27	坐在路旁的对松亭里，看看山色，听听流水和松涛。
38-28	一时间，我又觉得自己#1不仅是在看画卷，
38-29	却又像是在零零乱乱#1翻着一卷#1历史稿本。
38-30	节选自#1杨朔#1《泰山极顶》
39-0	作品39号#1《陶行知的#1“四块糖果”》
39-1	育才小学校长陶行知#1在校园看到学生王友#1用泥块砸自己班上的同学，
39-2	陶行知当即喝止了他，并令他放学后#1到校长室去。
39-3	无疑，陶行知是要好好教育这个“顽皮”的学生。
39-4	那么#1他是如何教育的呢？
39-5	放学后，陶行知来到校长室，王友已经等在门口准备挨训了。
39-6	可一见面，陶行知却掏出一块糖果送给王友，并说：
39-7	“这是奖给你的，因为#1你按时来到这里，而我却迟到了。”
39-8	王友惊疑地接过糖果。
39-9	随后，陶行知又掏出一块糖果放到他手里，说：
39-10	“这第二块糖果#1也是奖给你的，因为当我不让你再打人时，
39-11	你立即就住手了，这说明#1你很尊重我，我应该奖你。”
39-12	王友更惊疑了，他眼睛#1睁得大大的。
39-13	陶行知又掏出第三块糖果#1塞到王友手里，说：
39-14	“我调查过了，你用泥块砸那些男生，是因为#1他们不守游戏规则，欺负女生；
39-15	你砸他们，说明你很正直善良，且有批评不良行为的勇气，应该奖励你啊！”
39-16	王友感动极了，他流着眼泪后悔地喊道：
39-17	“陶……陶校长你打我两下吧!
39-18	我砸的不是坏人，而是自己的同学啊……”
39-19	陶行知满意地笑了，他随即掏出第四块糖果递给王友，说：
39-20	“为你正确地认识错误，我再奖给你一块糖果，只可惜我只有这一块糖果了。
39-21	我的糖果没有了，我看#1我们的谈话也该结束了吧！”
39-22	说完，就走出了校长室。
39-23	节选自#1《教师博览·百期精华》中#1《陶行知的#1“四块糖果”》
40-0	作品40号#1《提醒幸福》
40-1	享受幸福#1是需要学习的，当它即将来临的时刻#1需要提醒。
40-2	人可以自然而然地学会感官的享乐，却无法天生地#1掌握幸福的韵律。
40-3	灵魂的快意#1同器官的舒适#1像一对孪生兄弟，
40-4	时而相傍相依，时而南辕北辙。
40-5	幸福是一种心灵的震颤。
40-6	它像会倾听音乐的耳朵一样，需要不断地训练。
40-7	简而言之，幸福就是没有痛苦的时刻。
40-8	它出现的频率#1并不像我们想像的那样少。
40-9	人们常常只是在幸福的金马车#1已经驶过去很远时，
40-10	才拣起地上的金鬃毛说，原来#1我见过它。
40-11	人们喜爱回味幸福的标本，却忽略#1它披着露水散发清香的时刻。
40-12	那时候#1我们往往步履匆匆，瞻前顾后不知在忙着什么。
40-13	世上#1有预报台风的，有预报蝗灾的，有预报瘟疫的，有预报地震的。
40-14	没有人预报幸福。
40-15	其实#1幸福和世界万物一样，有它的征兆。
40-16	幸福#1常常是朦胧的，很有节制地#1向我们喷洒甘霖。
40-17	你不要总希望#1轰轰烈烈的幸福，它多半只是悄悄地扑面而来。
40-18	你也不要企图#1把水龙头拧得更大，那样#1它会很快地流失。
40-19	你需要静静地#1以平和之心，体验它的真谛。
40-20	幸福绝大多数是朴素的。
40-21	它不会像信号弹似的，在很高的天际#1闪烁红色的光芒。
40-22	它披着本色的外衣，亲切温暖地包裹起我们。
40-23	幸福不喜欢喧嚣浮华，它常常在暗淡中降临。
40-24	贫困中相濡以沫的一块糕饼，患难中心心相印的一个眼神，
40-25	父亲一次粗糙的抚摸，女友一张温馨的字条……
40-26	这都是千金难买的幸福啊。
40-27	像一粒粒缀在旧绸子上的红宝石，在凄凉中#1愈发熠熠夺目。
40-28	节选自#1毕淑敏#1《提醒幸福》
41-0	作品41号#1《天才的造就》
41-1	在里约热内卢的一个贫民窟里，有一个男孩子，
41-2	他非常喜欢足球，可是又买不起，于是#1就踢塑料盒，
41-3	踢汽水瓶，踢从垃圾箱里拣来的椰子壳。
41-4	他在胡同里踢，在能找到的任何一片空地上踢。
41-5	有一天，当他在一处干涸的水塘里#1猛踢一个猪膀胱时，被一位足球教练看见了。
41-6	他发现#1这个男孩儿踢得很像那么回事，就主动提出#1要送给他一个足球。
41-7	小男孩儿得到足球后#1踢得更卖劲了。
41-8	不久，他就能准确地#1把球踢进远处随意摆放的一个水桶里。
41-9	圣诞节到了，孩子的妈妈说：
41-10	“我们没有钱买圣诞礼物#1送给我们的恩人，就让我们为他祈祷吧。”
41-11	小男孩儿跟随妈妈祈祷完毕，向妈妈要了一把铲子#1便跑了出去。
41-12	他来到一座别墅前的花园里，开始挖坑。
41-13	就在他快要挖好坑的时候，从别墅里走出一个人来，
41-14	问小孩儿在干什么，孩子抬起满是汗珠的脸蛋儿，说：
41-15	“教练，圣诞节到了，我没有礼物送给您，我愿给您的圣诞树挖一个树坑。”
41-16	教练把小男孩儿从树坑里拉上来，说，我今天得到了世界上最好的礼物。
41-17	明天#1你就到我的训练场去吧。
41-18	三年后，这位十七岁的男孩儿#1在第六届足球锦标赛上#1独进二十一球，
41-19	为巴西第一次捧回了金杯。
41-20	一个原来不为世人所知的名字——贝利，随之传遍世界。
41-21	节选自#1刘燕敏#1《天才的造就》
42-0	作品42号#1《我的母亲#1独一无二》
42-1	记得我十三岁时，和母亲住在法国东南部的耐斯城。
42-2	母亲没有丈夫，也没有亲戚，够清苦的，
42-3	但她经常能拿出令人吃惊的东西，摆在我面前。
42-4	她从来不吃肉，一再说#1自己是素食者。
42-5	然而有一天，我发现母亲#1正仔细地用一小块碎面包擦那给我煎牛排用的油锅。
42-6	我明白了#1她称自己为素食者的真正原因。
42-7	我十六岁时，母亲成了耐斯市美蒙旅馆的女经理。
42-8	这时，她更忙碌了。
42-9	一天，她瘫在椅子上，脸色苍白，嘴唇发灰。
42-10	马上找来医生，做出诊断：
42-11	她摄取了过多的胰岛素。
42-12	直到这时我才知道#1母亲多年一直对我隐瞒的疾痛——糖尿病。
42-13	她的头歪向枕头一边，痛苦地#1用手抓挠胸口。
42-14	床架上方，则挂着#1一枚我一九三二年
42-15	赢得耐斯市少年乒乓球冠军的银质奖章。
42-16	啊，是对我的美好前途的憧憬#1支撑着她活下去，
42-17	为了给她那荒唐的梦#1至少加一点真实的色彩，我只能继续努力，
42-18	与时间竞争，直至一九三八年#1我被征入空军。
42-19	巴黎很快失陷，我辗转调到英国皇家空军。
42-20	刚到英国就接到了母亲的来信。
42-21	这些信是由在瑞士的一个朋友秘密地转到伦敦，送到我手中的。
42-22	现在我要回家了，胸前佩带着醒目的#1绿黑两色的#1解放十字绶带，
42-23	上面挂着五六枚#1我终身难忘的勋章，肩上还佩带着军官肩章。
42-24	到达旅馆时，没有一个人跟我打招呼。
42-25	原来，我母亲在三年半以前就已经离开人间了。
42-26	在她死前的几天中，她写了近二百五十封信，
42-27	把这些信交给她在瑞士的朋友，请这个朋友定时寄给我。
42-28	就这样，在母亲死后的三年半的时间里，
42-29	我一直从她身上吸取着力量和勇气——
42-30	这使我能够继续战斗到胜利那一天。
42-31	节选自#1[法]#1罗曼·加里#1《我的母亲#1独一无二》
43-0	作品43号#1《我的信念》
43-1	生活对于任何人都非易事，我们必须有#1坚韧不拔的精神。
43-2	最要紧的，还是我们自己要有信心。
43-3	我们必须相信，我们对每一件事情都具有天赋的才能，
43-4	并且，无论付出任何代价，都要把这件事完成。
43-5	当事情结束的时候，你要能问心无愧地说：
43-6	“我已经尽我所能了。”
43-7	有一年的春天，我因病#1被迫在家里休息数周。
43-8	我注视着我的女儿们所养的蚕正在结茧，这使我很感兴趣。
43-9	望着这些蚕执著地、勤奋地工作，我感到我和它们非常相似。
43-10	像它们一样，我总是耐心地#1把自己的努力集中在一个目标上。
43-11	我之所以如此，或许是因为有某种力量在鞭策着我——
43-12	正如蚕#1被鞭策着去结茧一般。
43-13	近五十年来，我致力于科学研究，而研究，就是对真理的探讨。
43-14	我有许多美好快乐的记忆。
43-15	少女时期#1我在巴黎大学，孤独地过着求学的岁月；
43-16	在后来#1献身科学的整个时期，我丈夫和我专心致志，
43-17	像在梦幻中一般，坐在简陋的书房里#1艰辛地研究，
43-18	后来#1我们就在那里发现了镭。
43-19	我永远追求安静的工作#1和简单的家庭生活。
43-20	为了实现这个理想，我竭力保持宁静的环境，
43-21	以免受人事的干扰#1和盛名的拖累。
43-22	我深信，在科学方面我们有对事业#1而不是对财富的兴趣。
43-23	我的惟一奢望#1是在一个自由国家中，以一个自由学者的身份#1从事研究工作。
43-24	我一直沉醉于世界的优美之中，我所热爱的科学#1也不断增加#1它崭新的远景。
43-25	我认定#1科学本身#1就具有伟大的美。
43-26	节选自#1[波兰]#1玛丽·居里#1《我的信念》，剑捷译
44-0	作品44号#1《我为什么当教师》
44-1	我为什么非要教书不可？
44-2	是因为#1我喜欢#1当教师的时间安排表#1和生活节奏。
44-3	七、八、九三个月给我提供了进行回顾、研究、
44-4	写作的良机，并将三者有机融合，而善于回顾、
44-5	研究#1和总结正是优秀教师素质中#1不可缺少的成分。
44-6	干这行#1给了我多种多样的“甘泉”去品尝，
44-7	找优秀的书籍去研读，到“象牙塔”#1和实际世界里去发现。
44-8	教学工作#1给我提供了#1继续学习的时间保证，以及多种途径、机遇和挑战。
44-9	然而，我爱这一行的真正原因，是爱我的学生。
44-10	学生们在我的眼前成长、变化。
44-11	当教师意味着亲历“创造”过程的发生——
44-12	恰似亲手赋予一团泥土以生命，
44-13	没有什么比目睹它开始呼吸更激动人心的了。
44-14	权利我也有了：我有权利去启发诱导，去激发智慧的火花，
44-15	去问费心思考的问题，去赞扬回答的尝试，去推荐书籍，去指点迷津。
44-16	还有什么别的权利能与之相比呢？
44-17	而且，教书还给我金钱和权利之外的东西，那#1就是爱心。
44-18	不仅有对学生的爱，对书籍的爱，对知识的爱，
44-19	还有教师才能感受到的#1对“特别”学生的爱。
44-20	这些学生，有如冥顽不灵的泥块，
44-21	由于接受了老师的炽爱#1才勃发了生机。
44-22	所以，我爱教书，还因为，在那些#1勃发生机的“特别”学生身上，
44-23	我有时发现自己#1和他们呼吸相通，忧乐与共。
44-24	节选自#1[美]#1彼得·基·贝得勒#1《我为什么当教师》
45-0	作品45号#1《西部文化#1和西部开发》
45-1	中国西部#1我们通常是指黄河#1与秦岭相连#1一线以西，
45-2	包括西北#1和西南的十二个省、市、自治区。
45-3	这块广袤的土地面积#1为五百四十六万平方公里，
45-4	占国土总面积的#1百分之五十七；
45-5	人口二点八亿，占全国总人口的#1百分之二十三。
45-6	西部#1是华夏文明的源头。
45-7	华夏祖先的脚步#1是顺着水边走的：
45-8	长江上游#1出土过元谋人牙齿化石，距今约一百七十万年；
45-9	黄河中游出土过蓝田人头盖骨，距今约七十万年。
45-10	这两处古人类#1都比距今约五十万年的北京猿人资格更老。
45-11	西部地区#1是华夏文明的重要发源地，秦皇汉武以后，
45-12	东西方文化在这里交汇融合，从而#1有了丝绸之路的驼铃声声，
45-13	佛院深寺的#1暮鼓晨钟。
45-14	敦煌莫高窟#1是世界文化史上的#1一个奇迹，
45-15	它在继承汉晋艺术传统的基础上，
45-16	形成了#1自己兼收并蓄的恢宏气度，
45-17	展现出#1精美绝伦的艺术形式#1和博大精深的文化内涵。
45-18	秦始皇兵马俑、西夏王陵、楼兰古国、
45-19	布达拉宫、三星堆、大足石刻等历史文化遗产，
45-20	同样#1为世界所瞩目，成为中华文化#1重要的象征。
45-21	西部地区#1又是少数民族#1及其文化的集萃地，
45-22	几乎包括了#1我国所有的少数民族。
45-23	在一些偏远的少数民族地区，
45-24	仍保留了一些#1久远时代的艺术品种，成为珍贵的“活化石”，
45-25	如纳西古乐、戏曲、剪纸、刺绣、
45-26	岩画等民间艺术和宗教艺术。
45-27	特色鲜明、丰富多彩，犹如一个巨大的民族民间文化艺术宝库。
45-28	我们要充分重视#1和利用#1这些得天独厚的资源优势，
45-29	建立良好的#1民族民间文化生态环境，为西部大开发#1做出贡献。
45-30	节选自#1《中考语文课外阅读#1试题精选》中#1《西部文化#1和西部开发》
46-0	作品46号#1《喜悦》
46-1	高兴，这是一种具体的#1被看得到摸得着的事物所唤起的情绪。
46-2	它是心理的，更是生理的。
46-3	它容易来也容易去，谁也不应该#1对它视而不见#1失之交臂，
46-4	谁也不应该#1总是做那些使自己不高兴也使旁人不高兴的事。
46-5	让我们说一件#1最容易做#1也最令人高兴的事吧，
46-6	尊重你自己，也尊重别人，这是每一个人的权利，
46-7	我还要说#1这是每一个人的义务。
46-8	快乐，它是一种#1富有概括性的生存状态、工作状态。
46-9	它几乎是先验的，它来自生命本身的活力，来自宇宙、
46-10	地球和人间的吸引，它是世界的丰富、
46-11	绚丽、阔大、悠久的体现。
46-12	快乐还是一种力量，是埋在地下的根脉。
46-13	消灭一个人的快乐比挖掘掉一棵大树的根要难得多。
46-14	欢欣，这是一种青春的、诗意的情感。
46-15	它来自面向着未来伸开双臂奔跑的冲力，它来自一种轻松#1而又神秘、
46-16	朦胧#1而又隐秘的激动，它是激情即将到来的预兆，
46-17	它又是大雨过后的比下雨还要美妙得多也久远得多的回味……
46-18	喜悦，它是一种带有形而上色彩的修养#1和境界。
46-19	与其说它是一种情绪，不如说它是一种智慧、一种超拔、
46-20	一种悲天悯人的宽容和理解，一种饱经沧桑的充实和自信，一种光明的理性，
46-21	一种坚定的成熟，一种战胜了烦恼和庸俗的清明澄澈。
46-22	它是一潭清水，它是一抹朝霞，
46-23	它是无边的平原，它是沉默的地平线，多一点儿、
46-24	再多一点儿喜悦吧，它是翅膀，也是归巢。
46-25	它是一杯美酒，也是一朵#1永远开不败的莲花。
46-26	节选自#1王蒙#1《喜悦》
47-0	作品47号#1《香港：最贵的一棵树》
47-1	在湾仔，香港最热闹的地方，有一棵榕树，
47-2	它是最贵的一棵树，不光在香港，在全世界，都是最贵的。
47-3	树，活的树，又不卖何言其贵？
47-4	只因它老，它粗，是香港#1百年沧桑的活见证，
47-5	香港人不忍看着它被砍伐，或者被移走，
47-6	便跟要占用这片山坡的建筑者谈条件：
47-7	可以在这儿建大楼#1盖商厦，但一不准砍树，二不准挪树，
47-8	必须把它原地精心养起来，成为香港闹市中的一景。
47-9	太古大厦的建设者最后签了合同，
47-10	占用这个大山坡#1建豪华商厦#1的先决条件#1是同意保护这棵老树。
47-11	树长在半山坡上，
47-12	计划将树下面的成千上万吨山石#1全部掏空取走，腾出地方来盖楼，
47-13	把树架在大楼上面，仿佛它原本是长在楼顶上似的。
47-14	建设者就地造了一个直径十八米、深十米的大花盆，
47-15	先固定好这棵老树，再在大花盆底下盖楼。
47-16	光这一项就花了两千三百八十九万港币，
47-17	堪称#1是最昂贵的保护措施了。
47-18	太古大厦落成之后，人们可以乘滚动扶梯一次到位，
47-19	来到太古大厦的顶层，出后门，那儿是一片自然景色。
47-20	一棵大树出现在人们面前，树干#1有一米半粗，
47-21	树冠#1直径足有二十多米，独木成林，非常壮观，
47-22	形成一座以它为中心的小公园，取名#1叫“榕圃”。
47-23	树前面插着铜牌，说明原由。
47-24	此情此景，如不看铜牌的说明，
47-25	绝对想不到#1巨树根底下#1还有一座宏伟的现代大楼。
47-26	节选自#1舒乙#1《香港：最贵的一棵树》
48-0	作品48号#1《小鸟的天堂》
48-1	我们的船渐渐地逼近榕树了：
48-2	我有机会看清它的真面目：
48-3	是一棵大树，有数不清的丫枝，枝上又生根，
48-4	有许多根#1一直垂到地上，伸进泥土里。
48-5	一部分树枝垂到水面，从远处看，就像一棵大树斜躺在水面上一样。
48-6	现在正是枝繁叶茂的时节。
48-7	这棵榕树#1好像在把它的全部生命力#1展示给我们看。
48-8	那么多的绿叶，一簇堆在另一簇的上面，不留一点儿缝隙。
48-9	翠绿的颜色明亮地在我们的眼前闪耀，
48-10	似乎#1每一片树叶上#1都有一个新的生命在颤动，
48-11	这美丽的南国的树！
48-12	船在树下泊了片刻，岸上很湿，我们没有上去。
48-13	朋友说#1这里是“鸟的天堂”，
48-14	有许多鸟#1在这棵树上做窝，农民不许人去捉它们。
48-15	我仿佛听见几只鸟扑翅的声音，但是等到我的眼睛注意地看那里时，
48-16	我却看不见一只鸟的影子，只有无数的树根立在地上，像许多根木桩。
48-17	地是湿的，大概涨潮时河水常常冲上岸去。
48-18	“鸟的天堂”里没有一只鸟，我这样想到。
48-19	船开了，一个朋友拨着船，缓缓地流到河中间去。
48-20	第二天，我们划着船到一个朋友的家乡去，就是那个#1有山有塔的地方。
48-21	从学校出发，我们又经过那“鸟的天堂”。
48-22	这一次是在早晨，阳光照在水面上，也照在树梢上。
48-23	一切都显得非常光明。
48-24	我们的船#1也在树下泊了片刻。
48-25	起初四周围非常清静。
48-26	后来#1忽然起了一声鸟叫。
48-27	我们把手一拍，便看见一只大鸟飞了起来，接着又看见第二只，第三只。
48-28	我们继续拍掌，很快地#1这个树林就变得很热闹了。
48-29	到处都是鸟声，到处都是鸟影。
48-30	大的，小的，花的，黑的，有的站在枝上叫，
48-31	有的飞起来，在扑翅膀。
48-32	节选自#1巴金#1《小鸟的天堂》
49-0	作品49号#1《野草》
49-1	有这样一个故事。
49-2	有人问：世界上什么东西的气力最大？
49-3	回答纷纭得很，有的说“象”，有的说“狮”，
49-4	有人开玩笑似的说：是“金刚”，金刚有多少气力，当然大家全不知道。
49-5	结果，这一切答案#1完全不对，世界上气力最大的，是植物的种子。
49-6	一粒种子#1所可以显现出来的力，简直是超越一切。
49-7	人的头盖骨，结合得非常致密与坚固，
49-8	生理学家和解剖学者用尽了一切的方法，
49-9	要把它完整地分出来，都没有这种力气。
49-10	后来忽然有人发明了一个方法，
49-11	就是把一些植物的种子#1放在要剖析的头盖骨里，
49-12	给它以温度与湿度，使它发芽。
49-13	一发芽，这些种子#1便以可怕的力量，
